,activeinvestors,alternateofficecount,businessstatus,companyalsoknownas,companyfinancingstatus,companyformername,companyid,companylegalname,companyname,description,employees,exchange,facebookprofileurl,financingstatusnote,firstfinancingdate,firstfinancingdealclass,firstfinancingdealtype,firstfinancingdealtype2,firstfinancingdealtype3,firstfinancingsize,firstfinancingsizestatus,firstfinancingstatus,formerinvestors,growthrate,growthratechange,growthratepercentchange,growthratepercentile,hqaddressline1,hqaddressline2,hqcity,hqcountry,hqemail,hqfax,hqglobalregion,hqglobalsubregion,hqlocation,hqphone,hqpostcode,hqstate_province,keywords,lastfinancingdate,lastfinancingdealclass,lastfinancingdealtype,lastfinancingdealtype2,lastfinancingdealtype3,lastfinancingsize,lastfinancingsizestatus,lastfinancingstatus,lastupdated,linkedinprofileurl,ownershipstatus,parentcompany,pitchbookprofilelink,primaryindustrycode,primaryindustrygroup,primaryindustrysector,sizemultiple,sizemultiplechange,sizemultiplepercentchange,sizemultiplepercentile,socialgrowthrate,socialgrowthratepercentile,socialsizemultiple,socialsizemultiplepercentile,ticker,totalraised,twitterfollowers,twitterfollowerschange,twitterfollowerspercentchange,twittergrowthrate,twittergrowthratepercentile,twitterprofileurl,twittersizemultiple,twittersizemultiplepercentile,universe,webgrowthrate,webgrowthratepercentile,website,websizemultiple,websizemultiplepercentile,wrds_src,yearfounded
356,6.0,,Generating Revenue/Not Profitable,"Pandion, Pandion Therapeutics Holdco, LLC",Formerly VC-backed,,224160-49,"Pandion Therapeutics, Inc.",Pandion Therapeutics,"Pandion Therapeutics Inc is a clinical-stage biopharmaceutical company. It is engaged in developing novel therapeutics to address the unmet needs of patients suffering from autoimmune diseases. The firm has combined a network-based conceptualization of the immune system in advanced protein engineering to develop TALON (Therapeutic Autoimmune reguLatOry proteiN) drug design and discovery platform. Its pipeline products are PT101, for the treatment of patients with moderate-to-severe ulcerative colitis and the treatment of patients with systemic lupus erythematosus; PT627; PT001; and others.",56.0,,,"The company reached a definitive agreement to be acquired by Merck & Co. (NYS: MRK) for approximately $1.85 billion on February 25, 2021. The acquisition will allow Merck & Co. to add a pipeline of candidates targeting a broad range of autoimmune diseases. Previously, the company raised $135 million in its initial public offering on the Nasdaq Stock Exchange under the ticker symbol of PAND on July 17, 2020. The company is being actively tracked by PitchBook.",2018-01-18,Venture Capital,Early Stage VC,Series A,,58.0,Actual,Completed,4.0,0.47,0.0,0.0,94.0,134 Coolidge Avenue,2nd Floor,Watertown,United States,info@pandiontx.com,,Americas,North America,"Watertown, MA",+1 (617) 393-5925,02472,Massachusetts,"biotechnology company, immunosuppression therapy, inflammatory disease drugs, systemic immunosuppression, tissue-specific drugs",2021-02-25,Corporate,Merger/Acquisition,,,1850.0,Actual,Announced/In Progress,2021-06-08,http://www.linkedin.com/company/pandion-therapeutics,Publicly Held,,https://my.pitchbook.com?c=224160-49,Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,1.82,0.0,0.0,66.0,,,,,,273.0,266.0,1.0,0.38,,,https://twitter.com/pandiontx,,,"M&A, Publicly Listed, Venture Capital",0.0,10.0,www.pandiontx.com,2.67,72.0,vc_na,2017.0
357,2.0,,Profitable,"Hearthside, HFS",Private Equity-Backed,,40434-67,Hearthside Food Solutions LLC,Hearthside Food Solutions,"Provider of contract manufacturing services to food industry. The company specializes in the production of energy bars, snack bars, granola bars, baked bars, cookies, crackers, pretzels, croutons, breadcrumbs, snack components and other baked foods and snacks.",10000.0,,https://www.facebook.com/hearthsidefoodsolutions,"The company received $100 million of debt financing in the form of a loan from undisclosed lenders on June 10, 2020.",2009-01-01,Private Equity,PE Growth/Expansion,,,,,Completed,9.0,0.07,0.0,0.0,90.0,3500 Lacey Road,Suite 300,Downers Grove,United States,info@hearthsidefoods.com,,Americas,North America,"Downers Grove, IL",+1 (630) 967-3600,60515,Illinois,"baked snacks, consumer baked food, energy bar, food contract manufacturer, snacks components",2020-06-10,Debt,Debt - General,,,100.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/hearthside-food-solutions,Privately Held (backing),,https://my.pitchbook.com?c=40434-67,BPO/Outsource Services,Commercial Services,Business Products and Services (B2B),5.7,0.0,0.09,86.0,0.08,83.0,1.05,51.0,,790.529,334.0,0.0,0.0,0.08,83.0,https://twitter.com/hearthsidefoods,1.05,51.0,"Debt Financed, Private Equity, Venture Capital",0.07,91.0,www.hearthsidefoods.com,10.35,91.0,ot_na,2009.0
358,2.0,,Profitable,"Hearthside, HFS",Private Equity-Backed,,40434-67,Hearthside Food Solutions LLC,Hearthside Food Solutions,"Provider of contract manufacturing services to food industry. The company specializes in the production of energy bars, snack bars, granola bars, baked bars, cookies, crackers, pretzels, croutons, breadcrumbs, snack components and other baked foods and snacks.",10000.0,,https://www.facebook.com/hearthsidefoodsolutions,"The company received $100 million of debt financing in the form of a loan from undisclosed lenders on June 10, 2020.",2009-01-01,Private Equity,PE Growth/Expansion,,,,,Completed,9.0,0.07,0.0,0.0,90.0,3500 Lacey Road,Suite 300,Downers Grove,United States,info@hearthsidefoods.com,,Americas,North America,"Downers Grove, IL",+1 (630) 967-3600,60515,Illinois,"baked snacks, consumer baked food, energy bar, food contract manufacturer, snacks components",2020-06-10,Debt,Debt - General,,,100.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/hearthside-food-solutions,Privately Held (backing),,https://my.pitchbook.com?c=40434-67,BPO/Outsource Services,Commercial Services,Business Products and Services (B2B),5.7,0.0,0.09,86.0,0.08,83.0,1.05,51.0,,790.529,334.0,0.0,0.0,0.08,83.0,https://twitter.com/hearthsidefoods,1.05,51.0,"Debt Financed, Private Equity, Venture Capital",0.07,91.0,www.hearthsidefoods.com,10.35,91.0,pe_na,2009.0
359,,,Generating Revenue,,Formerly VC-backed,Novoste,41226-76,NOVT Corp.,NOVT,"NOVT Corp develops medical treatments for coronary and vascular diseases and is engaged in vascular brachytherapy, radiation therapy delivered inside a blood vessel to prevent it from re-closing following balloon angioplasty procedures.",166.0,,,"The company was acquired by Best Vascular for an undisclosed amount on March 9, 2006. The company is no longer actively tracked by PitchBook.",,Venture Capital,Early Stage VC,,,,,Completed,2.0,,,,,61 East Main Street,Suite B,Los Gatos,United States,,,Americas,North America,"Los Gatos, CA",+1 (408) 399-6495,95030,California,"radiation therapy, radiation therapy application, vascular brachytherapy, vascular disease treatment",2006-03-09,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Privately Held (backing),,https://my.pitchbook.com?c=41226-76,Therapeutic Devices,Healthcare Devices and Supplies,Healthcare,,,,,,,,,,,,,,,,,,,"Publicly Listed, Venture Capital",,,www.novtcorp.com,,,ot_na,1992.0
360,,,Generating Revenue,,Formerly VC-backed,Novoste,41226-76,NOVT Corp.,NOVT,"NOVT Corp develops medical treatments for coronary and vascular diseases and is engaged in vascular brachytherapy, radiation therapy delivered inside a blood vessel to prevent it from re-closing following balloon angioplasty procedures.",166.0,,,"The company was acquired by Best Vascular for an undisclosed amount on March 9, 2006. The company is no longer actively tracked by PitchBook.",,Venture Capital,Early Stage VC,,,,,Completed,2.0,,,,,61 East Main Street,Suite B,Los Gatos,United States,,,Americas,North America,"Los Gatos, CA",+1 (408) 399-6495,95030,California,"radiation therapy, radiation therapy application, vascular brachytherapy, vascular disease treatment",2006-03-09,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Privately Held (backing),,https://my.pitchbook.com?c=41226-76,Therapeutic Devices,Healthcare Devices and Supplies,Healthcare,,,,,,,,,,,,,,,,,,,"Publicly Listed, Venture Capital",,,www.novtcorp.com,,,pe_na,1992.0
361,,,Generating Revenue,,Formerly VC-backed,Novoste,41226-76,NOVT Corp.,NOVT,"NOVT Corp develops medical treatments for coronary and vascular diseases and is engaged in vascular brachytherapy, radiation therapy delivered inside a blood vessel to prevent it from re-closing following balloon angioplasty procedures.",166.0,,,"The company was acquired by Best Vascular for an undisclosed amount on March 9, 2006. The company is no longer actively tracked by PitchBook.",,Venture Capital,Early Stage VC,,,,,Completed,2.0,,,,,61 East Main Street,Suite B,Los Gatos,United States,,,Americas,North America,"Los Gatos, CA",+1 (408) 399-6495,95030,California,"radiation therapy, radiation therapy application, vascular brachytherapy, vascular disease treatment",2006-03-09,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Privately Held (backing),,https://my.pitchbook.com?c=41226-76,Therapeutic Devices,Healthcare Devices and Supplies,Healthcare,,,,,,,,,,,,,,,,,,,"Publicly Listed, Venture Capital",,,www.novtcorp.com,,,vc_na,1992.0
362,,,Profitable,,Formerly PE-Backed,,41679-64,FPEE SAS,FPEE (France),"Manufacturer of industrial doors and windows. The company manufactures aluminum, polyvinyl chloride (PVC), wood and wood-aluminum windows, doors, gates and shutters.",750.0,,,"The company was acquired by Bouvet for an undisclosed amount on January 11, 2019.",2003-09-25,Private Equity,Buyout/LBO,,,96.10522463,Actual,Completed,11.0,,,,,6035 Route de Sillé,,Brûlon,France,info@fpee.fr,,Europe,Western Europe,"Brûlon, France",+33 (0)2 43 62 15 15,72350,,"doors maker, industrial joinery, joinery manufacturer",2019-01-11,Corporate,Merger/Acquisition,,,,,Completed,2021-04-27,http://www.linkedin.com/company/fpee,Acquired/Merged (Operating Subsidiary),Bouvet,https://my.pitchbook.com?c=41679-64,Building Products,Commercial Products,Business Products and Services (B2B),,,,,,,,,,27.74986751,,,,,,,,,Private Equity,,,www.fpee.fr,,,ot_row,1982.0
363,,,Profitable,,Formerly PE-Backed,,41679-64,FPEE SAS,FPEE (France),"Manufacturer of industrial doors and windows. The company manufactures aluminum, polyvinyl chloride (PVC), wood and wood-aluminum windows, doors, gates and shutters.",750.0,,,"The company was acquired by Bouvet for an undisclosed amount on January 11, 2019.",2003-09-25,Private Equity,Buyout/LBO,,,96.10522463,Actual,Completed,11.0,,,,,6035 Route de Sillé,,Brûlon,France,info@fpee.fr,,Europe,Western Europe,"Brûlon, France",+33 (0)2 43 62 15 15,72350,,"doors maker, industrial joinery, joinery manufacturer",2019-01-11,Corporate,Merger/Acquisition,,,,,Completed,2021-04-27,http://www.linkedin.com/company/fpee,Acquired/Merged (Operating Subsidiary),Bouvet,https://my.pitchbook.com?c=41679-64,Building Products,Commercial Products,Business Products and Services (B2B),,,,,,,,,,27.74986751,,,,,,,,,Private Equity,,,www.fpee.fr,,,pe_row,1982.0
364,2.0,,Generating Revenue,BirchStreet,Private Equity-Backed,,42126-04,"BirchStreet Systems, LLC",BirchStreet Systems,"Developer of a cloud-based procure-to-pay automation software designed to help hospitality organizations leverage their collective buying power, automate back-office processes and tighten financial controls. The company's platform encompasses eProcurement, Accounts Payable Automation, inventory management, recipe system management and capital projects. Its software increases efficiency by streamlining many manual processes and creates a comprehensive, intelligent view of spending compliance.",59.0,,https://www.facebook.com/birchstreet,"The company received debt financing in the form of a loan from Silicon Valley Bank on October 1, 2020.",2009-09-09,Private Equity,PE Growth/Expansion,,,,,Completed,1.0,-1.51,-0.01,-0.49,2.0,1301 Dove Street,Suite 300,Newport Beach,United States,,+1 (949) 660-1545,Americas,North America,"Newport Beach, CA",+1 (949) 567-7000,92660,California,"accounts payable automation, data management service, data management software, e-procurement, inventory control software, multi-tenant software",2020-10-01,Debt,Debt - General,,,,,Completed,2021-06-08,http://www.linkedin.com/company/birchstreet-systems,Privately Held (backing),,https://my.pitchbook.com?c=42126-04,Business/Productivity Software,Software,Information Technology,3.32,0.01,0.34,77.0,-0.22,5.0,2.7,68.0,,,856.0,-2.0,-0.23,-0.22,5.0,https://twitter.com/birchstreetsys,2.7,68.0,"Debt Financed, Private Equity",-2.8,2.0,www.birchstreetsystems.com,3.94,80.0,ot_na,2002.0
365,2.0,,Generating Revenue,BirchStreet,Private Equity-Backed,,42126-04,"BirchStreet Systems, LLC",BirchStreet Systems,"Developer of a cloud-based procure-to-pay automation software designed to help hospitality organizations leverage their collective buying power, automate back-office processes and tighten financial controls. The company's platform encompasses eProcurement, Accounts Payable Automation, inventory management, recipe system management and capital projects. Its software increases efficiency by streamlining many manual processes and creates a comprehensive, intelligent view of spending compliance.",59.0,,https://www.facebook.com/birchstreet,"The company received debt financing in the form of a loan from Silicon Valley Bank on October 1, 2020.",2009-09-09,Private Equity,PE Growth/Expansion,,,,,Completed,1.0,-1.51,-0.01,-0.49,2.0,1301 Dove Street,Suite 300,Newport Beach,United States,,+1 (949) 660-1545,Americas,North America,"Newport Beach, CA",+1 (949) 567-7000,92660,California,"accounts payable automation, data management service, data management software, e-procurement, inventory control software, multi-tenant software",2020-10-01,Debt,Debt - General,,,,,Completed,2021-06-08,http://www.linkedin.com/company/birchstreet-systems,Privately Held (backing),,https://my.pitchbook.com?c=42126-04,Business/Productivity Software,Software,Information Technology,3.32,0.01,0.34,77.0,-0.22,5.0,2.7,68.0,,,856.0,-2.0,-0.23,-0.22,5.0,https://twitter.com/birchstreetsys,2.7,68.0,"Debt Financed, Private Equity",-2.8,2.0,www.birchstreetsystems.com,3.94,80.0,pe_na,2002.0
366,1.0,,Generating Revenue,Ether,Formerly PE-Backed,"Keen Inc., Ingenio Acquisition LLC",42137-20,"Ingenio, LLC",Ingenio,"Operator of a peer-to-peer e-commerce platform. The company is specialized in personal and professional advice and provides access to independent experts across a number of fields including counseling & therapy, education & tutoring, life coaching, health & wellness, legal, tech help, business and relationship advice. It has enabled over 30 million conversations from around the globe.",80.0,,,"The company received $82.3 million of debt financing in the form of a first lien credit facility from Tree Line Capital Partners on July 8, 2019. Previously, the company completed a dividend recapitalization on September 25, 2017. The financing included $10 million of a senior secured term loan from Prospect Capital and the company subsequently provided a dividend of $10 million to Alpine Investors.",1999-11-07,Venture Capital,Early Stage VC,,,7.5,Actual,Completed,25.0,,,,,182 Howard Street,Suite 826,San Francisco,United States,info@ingenio.com,,Americas,North America,"San Francisco, CA",+1 (877) 529-1193,94105,California,"communication platform, ecommerce platform, online advertising",2020-05-10,Debt,Debt - General,Acquisition Financing,,127.3,Actual,Completed,2021-04-21,http://www.linkedin.com/company/ingenio,Privately Held (backing),,https://my.pitchbook.com?c=42137-20,Social/Platform Software,Software,Information Technology,,,,,,,,,,209.6,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",,,www.ingenio.com,,,ot_na,1999.0
367,1.0,,Generating Revenue,Ether,Formerly PE-Backed,"Keen Inc., Ingenio Acquisition LLC",42137-20,"Ingenio, LLC",Ingenio,"Operator of a peer-to-peer e-commerce platform. The company is specialized in personal and professional advice and provides access to independent experts across a number of fields including counseling & therapy, education & tutoring, life coaching, health & wellness, legal, tech help, business and relationship advice. It has enabled over 30 million conversations from around the globe.",80.0,,,"The company received $82.3 million of debt financing in the form of a first lien credit facility from Tree Line Capital Partners on July 8, 2019. Previously, the company completed a dividend recapitalization on September 25, 2017. The financing included $10 million of a senior secured term loan from Prospect Capital and the company subsequently provided a dividend of $10 million to Alpine Investors.",1999-11-07,Venture Capital,Early Stage VC,,,7.5,Actual,Completed,25.0,,,,,182 Howard Street,Suite 826,San Francisco,United States,info@ingenio.com,,Americas,North America,"San Francisco, CA",+1 (877) 529-1193,94105,California,"communication platform, ecommerce platform, online advertising",2020-05-10,Debt,Debt - General,Acquisition Financing,,127.3,Actual,Completed,2021-04-21,http://www.linkedin.com/company/ingenio,Privately Held (backing),,https://my.pitchbook.com?c=42137-20,Social/Platform Software,Software,Information Technology,,,,,,,,,,209.6,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",,,www.ingenio.com,,,pe_na,1999.0
368,1.0,,Generating Revenue,Ether,Formerly PE-Backed,"Keen Inc., Ingenio Acquisition LLC",42137-20,"Ingenio, LLC",Ingenio,"Operator of a peer-to-peer e-commerce platform. The company is specialized in personal and professional advice and provides access to independent experts across a number of fields including counseling & therapy, education & tutoring, life coaching, health & wellness, legal, tech help, business and relationship advice. It has enabled over 30 million conversations from around the globe.",80.0,,,"The company received $82.3 million of debt financing in the form of a first lien credit facility from Tree Line Capital Partners on July 8, 2019. Previously, the company completed a dividend recapitalization on September 25, 2017. The financing included $10 million of a senior secured term loan from Prospect Capital and the company subsequently provided a dividend of $10 million to Alpine Investors.",1999-11-07,Venture Capital,Early Stage VC,,,7.5,Actual,Completed,25.0,,,,,182 Howard Street,Suite 826,San Francisco,United States,info@ingenio.com,,Americas,North America,"San Francisco, CA",+1 (877) 529-1193,94105,California,"communication platform, ecommerce platform, online advertising",2020-05-10,Debt,Debt - General,Acquisition Financing,,127.3,Actual,Completed,2021-04-21,http://www.linkedin.com/company/ingenio,Privately Held (backing),,https://my.pitchbook.com?c=42137-20,Social/Platform Software,Software,Information Technology,,,,,,,,,,209.6,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",,,www.ingenio.com,,,vc_na,1999.0
369,4.0,1.0,Generating Revenue,"TridentUSA, Trident, TridentCare",Private Equity-Backed,TridentUSA Health Services LLC,42164-29,TridentCare LLC,TridentUSA Health Services,"Provider of mobile bedside diagnostics and laboratory services. The company's offerings includes mobile x-ray, ultrasound, teleradiology and laboratory services and hospice care are provided to skilled nursing home, assisted living, home healthcare, hospice and correctional markets.",5300.0,,,"The company received an undisclosed amount of development capital on September 20, 2019.",2008-01-01,Private Equity,PE Growth/Expansion,,,,,Completed,1.0,-4.23,0.0,0.0,1.0,101 Rock Road,,Horsham,United States,,+1 (215) 442-1081,Americas,North America,"Horsham, PA",+1 (215) 442-0660,19044,Pennsylvania,"clinical lab, diagnostic service, diagonastic center, healthcare services, mobile diagnostics",2019-09-20,Private Equity,PE Growth/Expansion,,,,,Completed,2021-06-08,http://www.linkedin.com/company/trident-usa-health-services,Privately Held (backing),,https://my.pitchbook.com?c=42164-29,Clinics/Outpatient Services,Healthcare Services,Healthcare,2.58,0.0,0.0,73.0,,,,,,235.0,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",-4.23,1.0,www.tridentcare.com,2.58,72.0,ot_na,1999.0
370,4.0,1.0,Generating Revenue,"TridentUSA, Trident, TridentCare",Private Equity-Backed,TridentUSA Health Services LLC,42164-29,TridentCare LLC,TridentUSA Health Services,"Provider of mobile bedside diagnostics and laboratory services. The company's offerings includes mobile x-ray, ultrasound, teleradiology and laboratory services and hospice care are provided to skilled nursing home, assisted living, home healthcare, hospice and correctional markets.",5300.0,,,"The company received an undisclosed amount of development capital on September 20, 2019.",2008-01-01,Private Equity,PE Growth/Expansion,,,,,Completed,1.0,-4.23,0.0,0.0,1.0,101 Rock Road,,Horsham,United States,,+1 (215) 442-1081,Americas,North America,"Horsham, PA",+1 (215) 442-0660,19044,Pennsylvania,"clinical lab, diagnostic service, diagonastic center, healthcare services, mobile diagnostics",2019-09-20,Private Equity,PE Growth/Expansion,,,,,Completed,2021-06-08,http://www.linkedin.com/company/trident-usa-health-services,Privately Held (backing),,https://my.pitchbook.com?c=42164-29,Clinics/Outpatient Services,Healthcare Services,Healthcare,2.58,0.0,0.0,73.0,,,,,,235.0,,,,,,,,,"Debt Financed, Private Equity, Venture Capital",-4.23,1.0,www.tridentcare.com,2.58,72.0,pe_na,1999.0
371,1.0,,Profitable,,Private Equity-Backed,John Laithwaite Associates,42766-66,JLA Limited,JLA,"Provider of critical machines, systems and services for commercial laundry, catering and heating to care homes, hotels, education providers and housing associations in the United Kingdom. The company combines equipment supply with service and offers washing machines, tumble dryers, S.A.F.E. dryers, stacked washers and dryers, rotary irons and finishing equipment and other related products, enabling clients to get tailored solutions for every part of their businesses.",900.0,,https://www.facebook.com/JLA.Limited,"The company was acquired by Cinven through a GBP 600 million LBO on May 14, 2018.",2010-03-25,Private Equity,Buyout/LBO,,,226.34687709,Actual,Completed,2.0,-0.24,0.0,0.0,7.0,Meadowcroft Lane,West Yorkshire,Ripponden,United Kingdom,info@jla.com,,Europe,Western Europe,"Ripponden, United Kingdom",,HX6 4AJ,England,"catering equipment leasing, catering equipment maintenance, catering equipment product, commercial dishwasher, hot water cylinders",2018-05-14,Private Equity,Buyout/LBO,Secondary Buyout,,827.54359316,Actual,Completed,2021-06-08,http://www.linkedin.com/company/jla,Privately Held (backing),,https://my.pitchbook.com?c=42766-66,Electrical Equipment,Commercial Products,Business Products and Services (B2B),6.55,0.02,0.28,87.0,-0.05,32.0,3.96,75.0,,19.75163504,1255.0,-1.0,-0.08,-0.05,32.0,https://twitter.com/JLA_Ltd,3.96,75.0,"Debt Financed, Private Equity",-0.44,7.0,www.jla.com,9.13,90.0,ot_row,1973.0
372,1.0,,Profitable,,Private Equity-Backed,John Laithwaite Associates,42766-66,JLA Limited,JLA,"Provider of critical machines, systems and services for commercial laundry, catering and heating to care homes, hotels, education providers and housing associations in the United Kingdom. The company combines equipment supply with service and offers washing machines, tumble dryers, S.A.F.E. dryers, stacked washers and dryers, rotary irons and finishing equipment and other related products, enabling clients to get tailored solutions for every part of their businesses.",900.0,,https://www.facebook.com/JLA.Limited,"The company was acquired by Cinven through a GBP 600 million LBO on May 14, 2018.",2010-03-25,Private Equity,Buyout/LBO,,,226.34687709,Actual,Completed,2.0,-0.24,0.0,0.0,7.0,Meadowcroft Lane,West Yorkshire,Ripponden,United Kingdom,info@jla.com,,Europe,Western Europe,"Ripponden, United Kingdom",,HX6 4AJ,England,"catering equipment leasing, catering equipment maintenance, catering equipment product, commercial dishwasher, hot water cylinders",2018-05-14,Private Equity,Buyout/LBO,Secondary Buyout,,827.54359316,Actual,Completed,2021-06-08,http://www.linkedin.com/company/jla,Privately Held (backing),,https://my.pitchbook.com?c=42766-66,Electrical Equipment,Commercial Products,Business Products and Services (B2B),6.55,0.02,0.28,87.0,-0.05,32.0,3.96,75.0,,19.75163504,1255.0,-1.0,-0.08,-0.05,32.0,https://twitter.com/JLA_Ltd,3.96,75.0,"Debt Financed, Private Equity",-0.44,7.0,www.jla.com,9.13,90.0,pe_row,1973.0
373,1.0,,Generating Revenue,,Private Equity-Backed,,50929-30,"SpecialtyCare, Inc.",SpecialtyCare,Provider of outsourced medical services to hospital operating rooms. The company specializes in providing hospital operating rooms with critical clinical services including perfusion and intraoperative neuromonitoring.,2000.0,,https://www.facebook.com/SpecialtyCareUS,"The company received $850,000 of debt financing in the form of senior secured initial second lien term loan from Audax Credit BDC on September 1, 2018.",2009-05-13,Private Equity,PE Growth/Expansion,Recapitalization,,27.0,Actual,Completed,4.0,-0.24,0.0,0.0,7.0,3 Maryland Farms,Suite 200,Brentwood,United States,,+1 (615) 345-5405,Americas,North America,"Brentwood, TN",+1 (615) 345-5400,37027-5005,Tennessee,"clinical services, endoscopy services, neurological monitoring, neuromonitoring services, perfusion",2018-09-01,Debt,Debt - General,,,0.85,Actual,Completed,2021-06-08,http://www.linkedin.com/company/specialtycare,Privately Held (backing),,https://my.pitchbook.com?c=50929-30,Other Healthcare Services,Healthcare Services,Healthcare,3.46,0.0,0.14,78.0,0.23,91.0,1.06,51.0,,0.85,333.0,1.0,0.3,0.23,91.0,https://twitter.com/SpecialtyCareUS,1.06,51.0,"Debt Financed, Private Equity",-0.71,5.0,www.specialtycareus.com,5.86,85.0,ot_na,2006.0
374,1.0,,Generating Revenue,,Private Equity-Backed,,50929-30,"SpecialtyCare, Inc.",SpecialtyCare,Provider of outsourced medical services to hospital operating rooms. The company specializes in providing hospital operating rooms with critical clinical services including perfusion and intraoperative neuromonitoring.,2000.0,,https://www.facebook.com/SpecialtyCareUS,"The company received $850,000 of debt financing in the form of senior secured initial second lien term loan from Audax Credit BDC on September 1, 2018.",2009-05-13,Private Equity,PE Growth/Expansion,Recapitalization,,27.0,Actual,Completed,4.0,-0.24,0.0,0.0,7.0,3 Maryland Farms,Suite 200,Brentwood,United States,,+1 (615) 345-5405,Americas,North America,"Brentwood, TN",+1 (615) 345-5400,37027-5005,Tennessee,"clinical services, endoscopy services, neurological monitoring, neuromonitoring services, perfusion",2018-09-01,Debt,Debt - General,,,0.85,Actual,Completed,2021-06-08,http://www.linkedin.com/company/specialtycare,Privately Held (backing),,https://my.pitchbook.com?c=50929-30,Other Healthcare Services,Healthcare Services,Healthcare,3.46,0.0,0.14,78.0,0.23,91.0,1.06,51.0,,0.85,333.0,1.0,0.3,0.23,91.0,https://twitter.com/SpecialtyCareUS,1.06,51.0,"Debt Financed, Private Equity",-0.71,5.0,www.specialtycareus.com,5.86,85.0,pe_na,2006.0
375,2.0,2.0,Profitable,Valeo,Private Equity-Backed,,50970-61,Valeo Foods Ltd.,Valeo Foods,"Producer and seller of food products based in Ireland. The company offers a range of products including wheat, canned beans and peas, vine fruit, almonds, nuts, tuna, canned tomatoes, dried pasta, rice and other related food products through its diversified portfolio of brands to customers.",4000.0,,,"The company entered into a definitive agreement to be acquired by Bain Capital through a GBP 1.5 billion LBO on May 10, 2021. The company completed a EUR 117.3 million debt refinancing round on February 5, 2021. ING Group and J.P. Morgan provided EUR 117.3 million of term loan to the company. The funds will also be used to acquire German marzipan-maker Schluckwerder. The company is being actively tracked by PitchBook.",2010-09-10,Private Equity,Joint Venture,,,,,Completed,,-0.43,0.09,17.45,6.0,"3rd Floor, Skybridge House",Dublin Airport,Dublin,Ireland,,,Europe,Western Europe,"Dublin, Ireland",+353 (0)1 412 0500,,Leinster,"ambient food, baked food, food product seller, food production, food whole-seller",2021-05-10,Private Equity,Buyout/LBO,Secondary Buyout,,2080.01109339,Actual,Announced/In Progress,2021-06-08,http://www.linkedin.com/company/valeo-foods-group,Privately Held (backing),,https://my.pitchbook.com?c=50970-61,Food Products,Consumer Non-Durables,Consumer Products and Services (B2C),68.97,0.0,0.0,99.0,,,,,,1055.90853112,,,,,,,,,"Debt Financed, Private Equity",,,www.valeofoodsgroup.com,,,ot_row,2010.0
376,2.0,2.0,Profitable,Valeo,Private Equity-Backed,,50970-61,Valeo Foods Ltd.,Valeo Foods,"Producer and seller of food products based in Ireland. The company offers a range of products including wheat, canned beans and peas, vine fruit, almonds, nuts, tuna, canned tomatoes, dried pasta, rice and other related food products through its diversified portfolio of brands to customers.",4000.0,,,"The company entered into a definitive agreement to be acquired by Bain Capital through a GBP 1.5 billion LBO on May 10, 2021. The company completed a EUR 117.3 million debt refinancing round on February 5, 2021. ING Group and J.P. Morgan provided EUR 117.3 million of term loan to the company. The funds will also be used to acquire German marzipan-maker Schluckwerder. The company is being actively tracked by PitchBook.",2010-09-10,Private Equity,Joint Venture,,,,,Completed,,-0.43,0.09,17.45,6.0,"3rd Floor, Skybridge House",Dublin Airport,Dublin,Ireland,,,Europe,Western Europe,"Dublin, Ireland",+353 (0)1 412 0500,,Leinster,"ambient food, baked food, food product seller, food production, food whole-seller",2021-05-10,Private Equity,Buyout/LBO,Secondary Buyout,,2080.01109339,Actual,Announced/In Progress,2021-06-08,http://www.linkedin.com/company/valeo-foods-group,Privately Held (backing),,https://my.pitchbook.com?c=50970-61,Food Products,Consumer Non-Durables,Consumer Products and Services (B2C),68.97,0.0,0.0,99.0,,,,,,1055.90853112,,,,,,,,,"Debt Financed, Private Equity",,,www.valeofoodsgroup.com,,,pe_row,2010.0
